 Nearest neighbors for atom ID:            1  are: 
 ID:         2849    Distance:    2.9410908222198486     
 ID:         2853    Distance:    2.9811315536499023     
 ID:         2868    Distance:                        NaN
 ID:         2869    Distance:                        NaN
 ID:         2943    Distance:    1.6143509149551392     
 ID:         2947    Distance:                        NaN
 ID:         2948    Distance:                        NaN
 ID:         2949    Distance:                        NaN
 ID:         2951    Distance:    1.6605697870254517     
 ID:         2953    Distance:                        NaN
 ID:         2963    Distance:                        NaN
 ID:         2964    Distance:                        NaN
 ID:         2965    Distance:                        NaN
 ID:         2966    Distance:                        NaN
 ID:         2967    Distance:                        NaN
 ID:         2968    Distance:                        NaN
 ID:         2969    Distance:                        NaN
 ID:         2970    Distance:                        NaN
 ID:         3043    Distance:                        NaN
 ID:         3046    Distance:                        NaN
 ID:         3047    Distance:                        NaN
 ID:         3048    Distance:                        NaN
 ID:         3049    Distance:                        NaN
 ID:         3050    Distance:                        NaN
 ID:         3051    Distance:                        NaN
 ID:         3053    Distance:                        NaN
 ID:         3062    Distance:                        NaN
 ID:         3063    Distance:                        NaN
 ID:         3064    Distance:                        NaN
 ID:         3065    Distance:                        NaN
 ID:         3066    Distance:                        NaN
 ID:         3067    Distance:                        NaN
 ID:         3068    Distance:                        NaN
 ID:         3069    Distance:                        NaN
 ID:         3070    Distance:                        NaN
 ID:         3143    Distance:    1.5938175916671753     
 ID:         3147    Distance:                        NaN
 ID:         3149    Distance:    2.9414925575256348     
 ID:         3151    Distance:    1.7464803457260132     
 ID:         3163    Distance:                        NaN
 ID:         3166    Distance:                        NaN
 ID:         3167    Distance:                        NaN
 ID:         3168    Distance:                        NaN
 ID:         3169    Distance:                        NaN
 ID:         3170    Distance:                        NaN
 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
 Nearest neighbors for atom ID:            2  are: 
 ID:         2864    Distance:                        NaN
 ID:         2865    Distance:                        NaN
 ID:         2869    Distance:                        NaN
 ID:         2939    Distance:    1.9750710725784302     
 ID:         2943    Distance:                        NaN
 ID:         2944    Distance:                        NaN
 ID:         2945    Distance:                        NaN
 ID:         2947    Distance:    1.9470785856246948     
 ID:         2949    Distance:                        NaN
 ID:         2959    Distance:                        NaN
 ID:         2960    Distance:                        NaN
 ID:         2961    Distance:                        NaN
 ID:         2962    Distance:                        NaN
 ID:         2963    Distance:                        NaN
 ID:         2964    Distance:                        NaN
 ID:         2965    Distance:                        NaN
 ID:         2966    Distance:                        NaN
 ID:         2967    Distance:                        NaN
 ID:         2968    Distance:                        NaN
 ID:         2969    Distance:                        NaN
 ID:         3039    Distance:                        NaN
 ID:         3042    Distance:                        NaN
 ID:         3043    Distance:                        NaN
 ID:         3044    Distance:                        NaN
 ID:         3045    Distance:                        NaN
 ID:         3046    Distance:                        NaN
 ID:         3047    Distance:                        NaN
 ID:         3049    Distance:                        NaN
 ID:         3058    Distance:                        NaN
 ID:         3059    Distance:                        NaN
 ID:         3060    Distance:                        NaN
 ID:         3061    Distance:                        NaN
 ID:         3062    Distance:                        NaN
 ID:         3063    Distance:                        NaN
 ID:         3064    Distance:                        NaN
 ID:         3065    Distance:                        NaN
 ID:         3066    Distance:                        NaN
 ID:         3067    Distance:                        NaN
 ID:         3068    Distance:                        NaN
 ID:         3069    Distance:                        NaN
 ID:         3070    Distance:                        NaN
 ID:         3139    Distance:    1.9679651260375977     
 ID:         3143    Distance:                        NaN
 ID:         3147    Distance:    1.9252195358276367     
 ID:         3159    Distance:                        NaN
 ID:         3162    Distance:                        NaN
 ID:         3163    Distance:                        NaN
 ID:         3164    Distance:                        NaN
 ID:         3165    Distance:                        NaN
 ID:         3166    Distance:                        NaN
 ID:         3167    Distance:                        NaN
 ID:         3169    Distance:                        NaN
 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
 Nearest neighbors for atom ID:            3  are: 
 ID:         2849    Distance:    2.7624425888061523     
 ID:         2864    Distance:   0.39016696810722351     
 ID:         2865    Distance:    2.9008588790893555     
 ID:         2868    Distance:   0.41116529703140259     
 ID:         2869    Distance:                        NaN
 ID:         2943    Distance:                        NaN
 ID:         2944    Distance:    1.5624511241912842     
 ID:         2945    Distance:                        NaN
 ID:         2947    Distance:                        NaN
 ID:         2948    Distance:    1.4778239727020264     
 ID:         2949    Distance:                        NaN
 ID:         2953    Distance:                        NaN
 ID:         2960    Distance:    1.5689600706100464     
 ID:         2962    Distance:                        NaN
 ID:         2963    Distance:                        NaN
 ID:         2964    Distance:                        NaN
 ID:         2965    Distance:                        NaN
 ID:         2966    Distance:                        NaN
 ID:         2967    Distance:                        NaN
 ID:         2968    Distance:                        NaN
 ID:         2969    Distance:                        NaN
 ID:         2970    Distance:                        NaN
 ID:         3043    Distance:                        NaN
 ID:         3044    Distance:    1.5016114711761475     
 ID:         3045    Distance:                        NaN
 ID:         3046    Distance:                        NaN
 ID:         3047    Distance:                        NaN
 ID:         3048    Distance:    1.5770187377929688     
 ID:         3049    Distance:                        NaN
 ID:         3053    Distance:                        NaN
 ID:         3059    Distance:                        NaN
 ID:         3060    Distance:    1.5148307085037231     
 ID:         3062    Distance:                        NaN
 ID:         3063    Distance:                        NaN
 ID:         3064    Distance:                        NaN
 ID:         3065    Distance:                        NaN
 ID:         3066    Distance:                        NaN
 ID:         3067    Distance:                        NaN
 ID:         3068    Distance:                        NaN
 ID:         3069    Distance:                        NaN
 ID:         3070    Distance:                        NaN
 ID:         3143    Distance:                        NaN
 ID:         3147    Distance:                        NaN
 ID:         3149    Distance:    2.7666327953338623     
 ID:         3162    Distance:                        NaN
 ID:         3163    Distance:                        NaN
 ID:         3164    Distance:   0.34049695730209351     
 ID:         3165    Distance:    2.8431448936462402     
 ID:         3166    Distance:                        NaN
 ID:         3167    Distance:                        NaN
 ID:         3168    Distance:   0.49850144982337952     
 ID:         3169    Distance:                        NaN
 ID:         3170    Distance:                        NaN
 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
 Nearest neighbors for atom ID:            4  are: 
 ID:         2860    Distance:                        NaN
 ID:         2861    Distance:                        NaN
